iter	Passed	Remaining
0	61	61815
1	133	66534
2	281	93449
3	286	71258
4	360	71814
5	366	60740
6	437	62051
7	504	62532
8	582	64157
9	625	61931
10	695	62518
11	804	66206
12	903	68590
13	986	69499
14	1070	70307
15	1076	66218
16	1151	66590
17	1231	67180
18	1314	67853
19	1386	67941
20	1460	68072
21	1536	68288
22	1555	66091
23	1625	66087
24	1696	66160
25	1765	66144
26	1839	66288
27	1912	66374
28	1975	66155
29	2048	66244
30	2117	66201
31	2184	66085
32	2258	66185
33	2324	66029
34	2387	65834
35	2452	65684
36	2527	65793
37	2600	65827
38	2676	65944
39	2748	65960
40	2783	65098
41	2845	64910
42	2918	64952
43	2986	64879
44	3054	64831
45	3074	63764
46	3140	63677
47	3206	63597
48	3284	63736
49	3301	62728
50	3368	62671
51	3434	62607
52	3502	62576
53	3537	61966
54	3614	62095
55	3702	62420
56	3779	62533
57	3848	62500
58	3903	62264
59	3973	62249
60	4052	62384
61	4124	62394
62	4198	62446
63	4281	62615
64	4371	62881
65	4438	62811
66	4509	62800
67	4595	62987
68	4751	64113
69	4853	64480
70	4921	64399
71	5003	64491
72	5078	64493
73	5162	64597
74	5234	64555
75	5316	64634
76	5384	64540
77	5454	64475
78	5533	64512
79	5610	64523
80	5681	64460
81	5759	64473
82	5828	64399
83	5905	64396
84	5990	64484
85	6070	64520
86	6149	64538
87	6241	64686
88	6327	64772
89	6416	64876
90	6482	64757
91	6565	64801
92	6636	64724
93	6674	64335
94	6743	64244
95	6818	64202
96	6897	64206
97	6975	64199
98	7048	64150
99	7124	64121
100	7205	64136
101	7290	64181
102	7370	64184
103	7449	64183
104	7531	64194
105	7609	64174
106	7612	63531
107	7677	63411
108	7752	63374
109	7823	63301
110	7836	62763
111	7908	62701
112	7976	62615
113	8052	62579
114	8123	62512
115	8197	62469
116	8273	62436
117	8358	62474
118	8404	62220
119	8479	62183
120	8565	62226
121	8635	62149
122	8722	62191
123	8811	62245
124	8900	62306
125	8986	62336
126	9059	62275
127	9147	62319
128	9214	62214
129	9290	62178
130	9365	62126
131	9441	62085
132	9520	62059
133	9592	61993
134	9698	62140
135	9792	62211
136	9869	62170
137	9937	62074
138	10006	61984
139	10086	61959
140	10157	61882
141	10231	61819
142	10298	61719
143	10365	61618
144	10437	61546
145	10506	61457
146	10574	61363
147	10653	61331
148	10718	61218
149	10784	61111
150	10859	61055
151	10926	60956
152	10996	60877
153	11069	60808
154	11134	60702
155	11198	60588
156	11266	60497
157	11333	60399
158	11398	60290
159	11464	60190
160	11532	60099
161	11600	60007
162	11665	59901
163	11727	59780
164	11794	59688
165	11866	59619
166	11928	59498
167	11990	59379
168	12064	59323
169	12130	59223
170	12203	59159
171	12278	59107
172	12348	59031
173	12426	58988
174	12493	58899
175	12562	58816
176	12633	58743
177	12697	58638
178	12761	58532
179	12829	58445
180	12892	58336
181	12956	58233
182	12967	57891
183	13032	57796
184	13107	57743
185	13171	57644
186	13245	57584
187	13306	57474
