features,validation_score,test_score
"['TT_AA_count', 'T_-11', 'Tx_rate', 'C_-30', 'T_AAA_count', 'T_A_count', 'TrpR_20-0', 'T__GA_count', 'G_-33', 'NarP_8-3', 'A_GC_count', 'GTA_A_count', 'GA_C_count', 'FhlA_30-0', 'T_GC_count', 'T_AT_count', 'Fis_26-108', 'A_ATC_count', 'A__A_count', 'T_GCC_count', 'NagC_25-2', 'T_CA_count', 'TTT_AA_count', 'T__AAT_count', 'TA_ATG_count', 'CRP_25-12', 'TG__GC_count', 'T_CCC_count', 'T_TAC_count', 'TC_C_count', 'iclR', 'Nac_16-4', 'Fis_26-25', 'TC_CT_count', 'AAA__C_count']",0.4595579591948187,0.33789838392969096
"['T_G_count', 'TT_C_count', 'Tx_rate', 'dG_total', 'rpoD19', 'TAA_TC_count', 'G_TT_count', 'G_AAA_count', 'G_CC_count', 'T_GAC_count', 'T_GA_count', 'AT_CTG_count', 'CA_count', 'entropy', 'G_TTG_count', 'NagC_25-2', 'A_AT_count', 'AA_count', 'Fis_26-25', 'T__AT_count', 'rpoD17', 'T__CAT_count', 'rpoD16', 'G_TA_count', 'TA_ATC_count', 'T_CCC_count', 'A_C_count', 'T_TAA_count', 'T_AA_count', 'H_NS_28-24', 'TT__TG_count', '(-33, -30) predicted strength', 'nagC', 'PhoP_18-1', 'AA_A_count', 'T__CA_count', 'TT__AT_count']",0.43444015433903493,0.31600656699409524
"['T_G_count', 'AA_C_count', 'G_ATA_count', 'rpoS17', 'T__AAT_count', 'Tx_rate', 'rpoD17', 'Fis_26-25', 'GT_TAA_count', 'T_GAT_count', 'T__CAT_count', 'T__GCT_count', 'T_CAC_count', 'Predicted Promoter Strength (KbT)', 'TG_A_count', 'CytR_24-5', 'G__C_count', 'CpxR_14-3', 'GTT_AA_count', 'T_0', 'FhlA_30-0', 'TAT_C_count', 'C_0', 'A_CT_count', 'AA_count', 'G__AGA_count', 'G_TTG_count', 'TA_A_count', 'T_GAA_count', 'G_-33', 'T_GCT_count']",0.4137602043862796,0.24825498041493133
"['AA_count', 'TA_G_count', 'TAA_TC_count', 'T__AAC_count', 'Tx_rate', 'dG_apparent', 'G_AAA_count', 'G_CC_count', 'Fis_26-108', 'iclR', 'T_AAC_count', 'A_C_count', 'T_TGA_count', 'rpoS17', 'G_AAT_count', 'Fis_26-25', 'H_NS_28-24', 'T_GA_count', 'T_CAT_count', 'TC_count', 'AraC_19-9', 'NarP_8-3', 'G_0', 'TG_count', 'TTT_C_count', 'G_TTG_count', 'G__TAA_count', 'FhlA_30-0', 'gc_skew', 'GA_C_count', 'AC_count', 'Fis_26-32', 'at_skew', 'GC_A_count', 'TA__C_count', 'T_CAA_count', 'A_CTC_count', 'GA_CT_count', 'AT_A_count', 'GC_AT_count', 'G__TA_count', 'T__C_count', 'rpoD19', 'C__TTG_count', 'G__AAC_count']",0.4674420794715748,0.41544551741473157
"['TTT_AA_count', 'TA_G_count', 'T_AAA_count', 'G_count', 'TrpR_20-0', 'G_AT_count', 'rpoD17', 'TAA_TC_count', 'GT__GC_count', 'T_CAC_count', 'T_CC_count', 'C_CT_count', 'rpoS17', 'Tx_rate', 'Predicted Promoter Strength (KbT)', 'iclR', 'rpoD16', 'CA_count', 'GTA_A_count', 'G_-33', 'T_TA_count', 'AA_G_count', 'TG_count', 'G_TA_count', 'at_skew', 'T__A_count', 'A_count', 'C_T_count', 'G_C_count', 'A__C_count', 'FhlA_30-0', 'Fis_26-25', 'GT_TAA_count', 'CRP_25-12', 'T_TAA_count']",0.48220230515619733,0.35875055619273366
"['TTT_AA_count', 'A_-11', 'T_AA_count', 'TrpR_20-0', 'Tx_rate', 'dG_total', 'GA_A_count', 'G_TT_count', 'G__C_count', 'G__TAA_count', 'T_AAA_count', 'rpoS17', 'Fis_26-25', 'rpoD17', 'FhlA_30-0', 'entropy', 'TT_CT_count', 'rpoD19', 'T_TCA_count', 'H_NS_28-24', 'T__CTC_count', 'T__A_count', 'TC_C_count', 'G__AAC_count', 'Nac_16-4', 'A_GA_count', 'TAA_T_count', 'T_AGC_count', 'CT_count', 'T_TGA_count', 'CytR_24-5', 'GTT_AC_count', 'G__A_count', 'T_A_count', 'TCA_T_count']",0.5065604069740139,0.3701380672923952
"['T_G_count', 'G_ATA_count', 'rpoD17', 'T_TAA_count', 'rpoD19', 'TA__C_count', 'T__AAT_count', 'Fis_26-32', 'rpoD16', 'Tx_rate', 'T_count', 'G__C_count', 'G_0', 'G__TA_count', 'G_AAT_count', 'TTT__C_count', 'T_GAC_count', 'TA_A_count', 'T_GA_count', 'AA_T_count', 'G_TT_count', 'Fis_26-25', 'C_T_count', 'AC_C_count', 'TC_count', 'T_GAA_count', 'CpxR_14-3', 'TA_CTC_count', 'TA_ATG_count', 'T__TG_count', 'atgc_ratio', 'TTT_A_count', 'A_C_count', 'T_AGA_count', 'at_skew', 'z_curve_z_', 'CRP_25-12', 'NarP_8-3', 'AT_CTG_count', 'G_CA_count', 'T_GC_count', 'TG__AT_count', 'CG__TA_count']",0.5255757421411468,0.32463095083730775
"['TT_AA_count', 'A_-11', 'TrpR_20-0', 'G__C_count', 'G_AA_count', 'TA_GC_count', 'rpoD16', 'G__AT_count', 'rpoD17', 'T__AAC_count', 'Fis_26-32', 'AA_CC_count', 'rpoS17', 'FhlA_30-0', 'T_AC_count', 'T_GCT_count', 'C_C_count', 'TA__TC_count', 'T_TG_count', 'TA_count', 'T_-11', 'TG__C_count', 'GT__GC_count', 'T_AA_count']",0.3370742158279175,0.21052196833837922
"['TTT_AA_count', 'TA_G_count', 'G_count', 'G_AAA_count', 'GTT_AA_count', 'rpoD16', 'Tx_rate', 'rpoS17', 'Predicted Promoter Strength (KbT)', 'G_A_count', 'G__TAC_count', 'rpoD19', 'AraC_19-9', 'A__T_count', 'FhlA_30-0', 'Fis_26-25', 'CC_count', 'TT__A_count', 'G_AA_count', 'H_NS_28-24', 'TT_count', 'TT__C_count', 'T__ACT_count', 'CpxR_14-3', 'G__TGC_count', 'A_G_count', 'G_TTA_count', 'G_TA_count', 'T_TGC_count', 'TA_A_count', 'T__AAC_count', 'T_CT_count', 'CA_count', 'CRP_25-12', 'T_AAT_count', 'A_-8']",0.5337278124700027,0.2870411456549212
"['TTT_AA_count', 'T_AAA_count', 'TA_G_count', 'rpoD17', 'AT_C_count', 'T_AAT_count', 'G_CC_count', 'T_GAA_count', 'G_ATA_count', 'rpoS17', 'TT_AA_count', 'G__TGC_count', 'Fis_26-108', 'A_-11', 'T_-11', 'FhlA_30-0', 'T__AAC_count', 'TT_count']",0.3405790711971943,0.2502646311286224
"['C__AA_count', 'T_AGA_count', 'A__CTG_count', 'Tx_rate', 'dG_total', 'Fis_26-25', 'TT_CT_count', 'T_GCA_count', 'T_CCC_count', 'T_TAC_count', 'T_TGC_count', 'TA__T_count', 'G_TAA_count', 'A_C_count', 'NagC_25-2', '(-33, -30) predicted strength', 'T_CC_count', 'CA_count', 'TA_C_count', 'AA_T_count', 'G__TAA_count', 'TT_count', 'GC_A_count', 'G__G_count', 'T_GAC_count', 'T_CTG_count', 'TA_CT_count']",0.4086484300355092,0.24639095049932813
"['AA_C_count', 'rpoD17', 'TAA_TC_count', 'CytR_24-5', 'rpoD19', 'Tx_rate', 'dG_apparent', 'C__TA_count', 'G__AAA_count', 'G_CA_count', 'T_GCC_count', 'AT_A_count', 'H_NS_28-24', 'T_ACT_count', 'TA_CTG_count', 'G_TTG_count', 'NagC_25-2', 'T_TGC_count', 'T_AAC_count', 'Fis_26-108', 'G__TA_count', 'T_GCT_count', 'G__G_count', 'C_T_count', 'rpoD16', 'GT__GC_count', 'AT_count', 'GTA_A_count', 'G__TAC_count', 'TTT_C_count', 'entropy', 'CRP_25-12', 'CpxR_14-3', 'T__ATC_count', 'AG_count', 'NarL_9-39', 'T_count', 'TA_GC_count']",0.4656633842374981,0.36599384470149443
"['A_count', 'A_GA_count', 'T_GA_count', 'G_ATA_count', 'rpoD17', 'T_TC_count', 'Fis_26-25', 'AA_T_count', 'G__TAC_count', 'rpoS17', 'G_A_count', 'TT_count', 'G_count', 'G_CA_count', 'T_GAC_count', 'G_TAA_count', 'T_CTG_count', 'T__AAC_count', 'TA_CTC_count', 'T_TGC_count', 'T_0', 'T_CAA_count', 'A__T_count', 'GTT_AC_count', 'AT_CTG_count', 'CytR_24-5', 'TA_CTG_count', 'z_curve_x_', 'TC__T_count', 'A_-11', 'G_CAT_count']",0.37370373733226947,0.19663451278499222
"['T__AAA_count', 'TrpR_20-0', 'rpoD16', 'TA_GC_count', 'Nac_16-4', 'H_NS_28-24', 'T_TAA_count', 'FhlA_30-0', 'modE', 'C_A_count', 'G_AT_count', 'T_TGC_count', 'TA__T_count', 'T_CCT_count', 'rpoD19', 'TAA__C_count', 'T_AGA_count', 'T_ACC_count', 'CA_count', 'T_CTG_count']",0.38347017093826485,0.20372528962383585
"['T_AA_count', 'rpoD17', 'Tx_rate', 'TC_C_count', 'G_ATA_count', 'rpoD16', 'Fis_26-32', 'A_CTG_count', 'G__C_count', 'FhlA_30-0', 'TAC_T_count', 'AraC_19-9', 'NagC_25-2', 'T_CCT_count', 'A_AT_count', 'T_GCA_count', 'T_ACC_count', 'G__A_count', 'T__GA_count', 'T_CTG_count', 'A_AA_count', 'TT_C_count', 'T_TG_count', 'AT_A_count', 'T_TAA_count', 'G_TAG_count', 'TA_A_count', 'ATG_T_count', 'T_GCC_count', 'NarP_8-3', 'iclR', 'C_CT_count', 'T__ACT_count', 'T_CCA_count', 'T_ACT_count', 'CA_count', 'TG_A_count', 'Fis_26-108', 'T__ACC_count', 'A_C_count', 'Lrp_17-50']",0.46283147706363237,0.2772894151458143
"['T_G_count', 'TrpR_20-0', 'TT_AA_count', 'C__AA_count', 'C_TAA_count', 'G_CA_count', 'A__T_count', 'T_CC_count']",0.33732692504522377,0.16097581430881613
