features,validation_score,test_score
"['dG_total', 'AA_G_count', 'A__AGA_count', 'TG_count', 'T_ACA_count', 'AC_G_count']",0.6949715241734393,0.35960777758105944
"['G_TA_count', 'TT_C_count', 'T__CT_count', 'TA_count', 'C__AAA_count', 'G_CA_count', 'T__CCT_count', 'T_TAA_count', 'C_TTA_count']",0.59081218740199,0.3570846058494789
"['Predicted Promoter Strength (KbT)', 'T__CTA_count', 'G_count', 'AT_count', 'T_CAT_count', 'C_TAG_count']",0.6397670181581211,0.38599096288953016
"['(-11, -8) predicted strength', 'CC_count', 'TG_count', 'A_AC_count', 'TT_C_count', 'GC__T_count', 'arcA', 'H_NS_28-4', 'CTT_A_count', 'G_TAT_count']",0.591475056444315,0.18166574876032116
"['C_AAA_count', 'TT__A_count', 'T_GA_count', 'T_AT_count', 'T_AAC_count', 'rpoS17', 'A_ATG_count', 'T_TCC_count', 'TTG__A_count', 'T__CTA_count', 'AT_C_count', 'G_CC_count']",0.708194276504591,-0.438404709114004
"['Predicted Promoter Strength (KbT)', '(-33, -30) predicted strength', 'TA__AGA_count', 'AG_count', 'GCT__AA_count', 'T_GAT_count', 'C_AAG_count', 'G_CC_count', 'T__GC_count']",0.7513658558490761,0.3270973329295165
"['dG_total', 'A_GG_count', 'C_AAA_count', 'TT_A_count', 'C__TAA_count', 'T_TGC_count', 'C_TAG_count']",0.7669308156941981,0.26765855165090047
"['rpoD18', 'A_GA_count', 'T__AAT_count', 'G__AT_count', 'AA_G_count', 'T_GAA_count', 'T__GC_count', 'T_GCC_count']",0.6468639692989714,0.13075197773182057
"['rpoD18', 'GC_A_count', 'GA__G_count', 'A_CTA_count', 'A_CTG_count', 'T_GA_count', 'T__GC_count', 'H_NS_28-4']",0.7256799376825906,0.24817134636908267
"['dG_total', 'GA__G_count', 'A__AGA_count', 'GC_C_count', 'A_GG_count', 'C_TAA_count', 'GA_count', 'TA_ATA_count']",0.6832140350706775,0.43875555506415365
"['rpoD17', 'AA_CT_count', 'AA_T_count', 'ATA__A_count', 'TT_C_count', 'G_AA_count', 'TC_A_count', 'T_CCT_count', 'TAA_A_count', 'G__AT_count']",0.7689499899561119,0.09548602317313826
"['Predicted Promoter Strength (KbT)', 'G_count', 'GA_C_count', 'G__AT_count', 'T_AC_count', 'A_G_count', 'C__TAC_count', 'A_ATA_count', 'GC__T_count', 'TG_count', 'T_GAT_count', 'H_NS_28-4']",0.8384997938711817,0.2282292675543781
"['Predicted Promoter Strength (KbT)', 'TTT_C_count', 'A_C_count', 'T__ATG_count', 'T_CC_count', 'CC_T_count', 'T_TCC_count']",0.7155669167435827,0.37619676810552094
"['rpoD17', 'rpoD18', 'G__A_count', 'C_ATA_count', 'C__AAA_count', 'T_AGC_count', 'T_CCC_count']",0.7198746917717297,0.11618912091547517
"['rpoD17', 'T_GC_count', 'TT_AA_count', 'C_AAA_count', 'G_CC_count', 'A_-8', 'TTT_AC_count', 'T__GA_count', 'A_GAT_count', 'T_GAT_count']",0.8191668667409362,0.06725314658109127
"['dG_total', 'T_G_count', 'A__G_count', 'T_TCC_count', 'C__TA_count', 'TA_A_count', 'GA__T_count']",0.5816834327099791,0.14981696880732387
"['G_TA_count', '(-33, -30) predicted strength', 'TT__A_count', 'C_AAA_count', 'T_CT_count', 'A_GG_count', 'AA_AG_count', 'G_C_count', 'G_AA_count', 'A_-32', 'T__CC_count', 'AA_GG_count', 'G_CA_count']",0.6594877889563462,0.10029746884999657
"['dG_total', 'TA__AGA_count', 'AGA__G_count', 'TT__A_count', 'T__CT_count', 'T__CC_count', 'ATA__A_count', 'AA_CT_count', 'C_TAG_count']",0.7721335481283069,-0.08291176037847325
"['Predicted Promoter Strength (KbT)', 'AGA__G_count', 'AA_C_count', 'G__C_count', 'T__CTG_count', 'A_0', 'A_-9', 'A__C_count', 'T_GCC_count', 'A_ATG_count', 'T_CC_count', 'A_GA_count', 'T_GC_count', 'G_CC_count']",0.8286297908840858,0.3326025510883389
"['rpoD18', 'C_TTA_count', 'G_0', 'TA_A_count', 'C_ATA_count', 'TC_C_count', 'T__GC_count', 'GA_AT_count']",0.8652170854696541,0.29353739940210655
