features,validation_score,test_score
"['dG_total', 'G_count', 'T_TGC_count', 'T__AA_count', 'TAC_T_count']",0.9320664826738108,0.9081764459561507
"['dG_total', 'gc_skew', 'G__AAA_count']",0.7993289302358586,0.867959838513706
"['dG_total', 'T__TG_count', 'A_AC_count', 'AA_CT_count', 'rpoD19', 'TTT_C_count', 'G_AT_count', 'G__TAC_count', 'cpxR']",0.9012434918936443,0.9223414427478873
"['dG_total', 'GC__T_count', 'G_TC_count', 'G_0', 'Fis_26-32']",0.939219840011064,0.9194019181268608
"['dG_total', 'TC_count', 'G_count', 'C__AA_count', 'T__AAC_count', 'T_TA_count', 'A_-31', 'G_TTG_count']",0.9424815343336448,0.9062247331941042
"['dG_total', 'T_CTG_count', 'AA_TC_count', 'TG_count', 'G__AG_count', 'CT_count', 'T__ACT_count', 'T__AT_count']",0.9526103494331931,0.919457412078439
"['dG_total', 'C_0', 'CA_T_count', 'GTT_AA_count', 'TG__C_count', 'G__AGA_count', 'TT_CT_count']",0.9515662753546131,0.8999980907084248
"['dG_total', 'z_curve_x_', 'AA_TC_count', 'A_GA_count']",0.9330431663883434,0.8929824299083656
"['dG_total', 'gc_skew', 'G__AT_count', 'G__AAC_count', 'CRP_25-12', 'T_T_count', 'A_-10', 'A_0', 'T__AAC_count', 'C__TT_count']",0.9274103091636117,0.8569027555819557
"['dG_total', '(-11, -8) predicted strength', 'TG__C_count', 'TTT_AA_count', 'T_GCA_count', 'T_GCT_count']",0.9789385219953243,0.9022353850778794
"['dG_total', 'GC_C_count', 'G_AT_count', 'G__G_count', 'C_AT_count', 'TC_count', 'TG__G_count']",0.9562806773185625,0.9318351678397688
"['dG_total', 'GC_C_count', 'G__TA_count', 'T__A_count', 'rpoD19', 'CRP_25-12']",0.9667425840981837,0.8951135428560314
"['dG_total', 'gc_skew', 'TA__G_count', 'A__T_count', 'AC_C_count', 'Lrp_17-50']",0.8949235919302353,0.8990546805921419
"['dG_total', 'C_T_count', 'T_TA_count', 'T_CCC_count', 'G_AT_count', 'CRP_25-12', 'G__AAA_count']",0.9440448601097204,0.906134644324496
"['dG_total', 'TA_CTG_count', 'G__C_count', '(-11, -8) predicted strength', 'Fis_26-25', 'T_AGA_count', 'T_AAC_count', 'G__T_count', 'C__TT_count', 'T_TGC_count', 'A_-10']",0.9392851006633445,0.9154930909500683
"['dG_total', 'TC_count', 'TGC_G_count', 'GTT_AC_count', 'G_AAA_count', 'GTA_A_count']",0.9457163714670216,0.9216128143501287
"['dG_total', 'G_TC_count', '(-11, -8) predicted strength', 'T_CAT_count', 'C__TA_count', 'G__TGC_count', 'A_-11', 'G_count', 'T_AGC_count', 'G_TAG_count']",0.808024771251638,0.924130543954902
"['dG_total', 'TC_count', 'G__TA_count', 'T_TAA_count', 'CA_count', 'G_TT_count', 'G_AAA_count', 'CRP_25-12']",0.9229416984538075,0.9085616386966481
"['dG_total', 'TC_count', 'C__TA_count', 'T_0', 'Fis_26-25', 'GC_AT_count', 'ATG_T_count', 'G_A_count']",0.8997532402699584,0.9075711041096892
"['dG_total', 'TG_count', 'G__CT_count', 'TA_ATG_count', 'G__TAC_count', 'CRP_25-12']",0.9435667802576435,0.914668611077368
