,features,validation_score,test_score
0,"['GTT_AA_count', 'TA_GC_count', 'rpoD16', 'G_ATA_count', 'rpoD17', 'T_AT_count', 'FhlA_30-0', 'T__CAT_count', 'T_AAA_count', 'C__TT_count', 'TA_CTG_count', 'T_count', 'TA__T_count', 'T_CTG_count', 'G_AC_count', 'T_CCC_count', 'Fis_26-108', 'TT_A_count', 'TT__C_count', 'T_CAA_count', 'T__GC_count', 'TrpR_20-0', 'GT_TAA_count', 'rpoD19', 'T__GCT_count', 'G_ACT_count']",0.4245751689293715,0.22779512003679725
1,"['T_G_count', 'TT__C_count', 'G_ATA_count', 'rpoD17', 'cpxR', 'AA_A_count', 'T_GCT_count', 'G_AAG_count', 'Fis_26-108', 'G_C_count', 'G_TT_count', 'FhlA_30-0', 'z_curve_x_', 'G__C_count', 'T_GAC_count', 'TA_C_count', 'C_T_count', 'A_AC_count', 'TG_C_count', 'A_-9']",0.4430820292744946,0.2644822424913238
2,"['T_G_count', 'TA_G_count', 'T_AAT_count', 'A_AC_count', 'G_ATA_count', 'rpoD16', 'C__ATA_count', 'G_CA_count']",0.34183508222676295,0.266328023603012
3,"['rpoD17', 'T_AAT_count', 'G_AAG_count', 'G_-33', 'G_ATA_count', 'T_AAC_count', 'Fis_26-32', 'G_TT_count', 'T_TC_count', 'rpoD16', 'nagC', 'iclR', 'C__AAG_count', 'TT_AT_count']",0.320278480535949,0.14416718547080876
4,"['T_AAT_count', 'TA_G_count', 'AA_CT_count', 'Fis_26-25', 'rpoD17', 'AT_A_count', 'rpoD16', 'T_ACA_count', 'T_TC_count', 'modE', 'G_TAG_count', 'T__GA_count', 'T_TAC_count', 'T__ACA_count', 'T__GAT_count', 'T_CAA_count']",0.4615071408984823,0.19257524794436587
5,"['TT_G_count', 'G_ATA_count', 'TT__A_count', 'rpoD17', 'T__CTC_count', 'GC__C_count', 'Fis_26-108', 'CytR_24-5', 'rpoD16', 'z_curve_z_', 'AC_C_count', 'AraC_19-9', 'nagC', 'FhlA_30-0', 'TT_A_count', 'T_0', 'T_TCA_count', 'T_CAC_count', 'H_NS_28-24', 'T_AAT_count', 'CRP_25-12', 'T__CCT_count', 'CpxR_14-3', 'C__ATA_count', 'CC_C_count']",0.4264101570540675,0.2390991638140033
6,"['GTT_AA_count', 'rpoD17', 'T_GCC_count', 'TA_GC_count', 'rpoD16', 'A_AA_count', 'A_ATG_count', 'GA__T_count', 'cpxR', 'TG__G_count', 'T_0', 'T_CC_count', 'A__CT_count', 'NagC_25-2', 'TrpR_20-0', 'A_G_count', 'G_TAA_count', 'G__TAC_count', 'C_count', 'G_AAT_count', 'A_CTC_count', 'G_TT_count', 'Lrp_17-50', 'iclR', 'CC_count', 'TTT__T_count', 'C__CTT_count']",0.4031817269000144,0.30108034239754666
7,"['TT_AA_count', 'TA_G_count', 'rpoD16', 'AT_A_count', 'rpoD17', 'Fis_26-25', 'AA_A_count', '(-11, -8) predicted strength', 'AC_T_count', 'G_AAG_count', 'AT__TG_count', 'A_CTC_count', 'cpxR', 'gc_content', 'C_0', 'AT_CTG_count', 'T_AT_count']",0.46120626755208693,0.2658699077453571
8,"['T_G_count', 'rpoD17', 'G_ATA_count', 'Fis_26-25', 'TAC_T_count', 'TA_ATG_count', 'GC__C_count', 'CA_T_count', 'C__ATA_count', 'G__A_count']",0.40598215555927486,0.22626199575547767
9,"['rpoD17', 'T_G_count', 'G_ATA_count', 'TA_ATG_count', 'TA__C_count', 'FhlA_30-0', 'rpoD16', 'Fis_26-25', 'T_GA_count', 'G_CA_count', 'NagC_25-2', 'A_0', 'T__AAA_count', 'T_GAC_count', 'G_AC_count', 'T_ACT_count', 'pssm_score', 'G__AGA_count', 'modE', 'T__ATC_count', 'GA_A_count', 'GC_C_count', 'A_GA_count', 'C__AA_count', 'T_TGC_count', 'T_CTG_count', '(-11, -8) predicted strength', 'z_curve_y_', 'CC_TC_count', 'T_AGA_count', 'GA_count', 'AGA__C_count', 'AGA__CT_count', 'Lrp_17-50']",0.42567396780014455,0.23464734616989702
10,"['TA_GC_count', 'T_AA_count', 'rpoD17', 'Fis_26-25', 'T__AAC_count', 'G_TTA_count', 'TA_T_count', 'GC__T_count', 'NarL_9-39', 'G__AG_count', 'GntR_18-1', 'CC_T_count', 'rpoS17', 'G__AT_count', 'iclR', 'TA_CTG_count', 'rpoD16', 'TA_AT_count', 'T_ATG_count', 'Lrp_17-41', 'G_ATA_count', 'GC_count', 'TGC_G_count', 'G_TA_count', 'GA_count', 'T_GC_count']",0.38995588108079116,0.23929568719986272
11,"['T_G_count', 'rpoD17', 'G_ATA_count', 'Fis_26-25', 'TT__A_count', 'C_count', 'GA__T_count', 'TA_G_count', 'GT_TAA_count', 'rpoS17', 'Fis_26-32', 'T_GCT_count', 'G_TA_count', 'Fis_26-108', 'T_AGC_count', 'T_CCT_count', 'G__TA_count', 'TC_C_count', 'T__AAC_count', 'CRP_25-12', 'T_TCC_count', 'T_A_count', 'TA_ATG_count', 'A__T_count', 'CC_count', 'TC_A_count', 'at_skew', 'TC__TC_count']",0.38892460014177177,0.20866619015047294
12,"['T_G_count', 'TA_G_count', 'T_AA_count', 'TAA_T_count', 'Fis_26-25', 'rpoD17', 'TC_A_count', 'AT_count', 'T_AAC_count', 'G_C_count', 'rpoD16', 'gc_skew', 'T_GCT_count', 'TG__C_count', 'at_skew', 'T_GAA_count', 'iclR', 'PhoP_18-1', 'Fis_26-32', 'G_A_count', 'rpoS17', 'G_T_count', 'G_TAA_count']",0.453700492981989,0.0907420775854576
13,"['TT_G_count', 'TT_AA_count', 'rpoD17', 'Fis_26-25', 'G__TA_count', 'TG_count', 'A_AA_count', 'rpoD16', 'T_AAC_count', 'NagC_25-2', 'G_CA_count', 'TT_AT_count', 'TA_CTG_count', 'TA_AT_count', 'T_AGC_count', 'GC_AT_count', 'cpxR', 'G_AC_count', 'TTT__C_count', 'GTT_G_count', 'CysB_13-5', 'G_-31', 'TT_ATG_count', 'T__CC_count', 'T_GCA_count', 'TTT_AT_count', 'C_count', 'CG__TA_count']",0.3441008197659108,0.18717135241451976
14,"['TA_GC_count', 'T_AAT_count', 'rpoD17', 'Fis_26-25', 'T_AT_count', 'T_CA_count', 'TrpR_20-0', 'GC_G_count', 'T_GAA_count', 'TT__C_count', 'nagC', 'G__TAC_count', 'TT__A_count', 'T__CCT_count', 'TA_count', 'Fis_26-32', 'TT_CT_count', 'T__A_count', 'T__TC_count', 'T_0', 'T_CAA_count', 'iclR', 'T_CCA_count', 'CRP_25-12', 'AC_count', 'GA_A_count', 'G__AGA_count', 'GC__CTG_count']",0.45748183784135266,0.16723756165960757
15,"['T_G_count', 'rpoD17', 'A__A_count', 'TA_T_count', 'rpoD16', '(-33, -30) predicted strength', 'G_0', 'TTT_AA_count', 'T_GCC_count', 'T_TGA_count', 'G_ATG_count', 'G_A_count', 'C__AA_count', 'Fis_26-32', 'TC_C_count', 'GC_count', 'C_0', 'CysB_13-5', 'AA_CT_count', 'G__AAA_count', 'GA_CT_count', 'pssm_score', 'T_ACT_count', 'AT_A_count']",0.37981809728636395,0.19243389961754698
16,"['TA_GC_count', 'T_G_count', 'TT__C_count', 'rpoD17', 'A_AA_count', 'cpxR', 'G_ATA_count', 'rpoD16', 'GA_count', 'G_CA_count', 'T_AGA_count', 'GC_A_count', 'T_AAC_count', 'G__TAC_count', 'A_AAT_count', 'TT_AT_count']",0.36044544349634167,0.2229436472920765
17,"['TA__C_count', 'T_AAT_count', 'A_GA_count', 'G_C_count', 'rpoD17', 'AT_count', 'Fis_26-32', 'NarP_8-3', 'TTT_AC_count', 'G_TAG_count', 'T__AAC_count', 'T_GAC_count', 'A_ATC_count', 'FhlA_30-0', 'T_AAA_count', 'T__AT_count', 'G_TA_count', 'TT_AAT_count', 'T_A_count', 'rpoD19']",0.324103154021795,0.3059151069479872
18,"['TA_GC_count', 'T_AAT_count', 'rpoD16', 'G_ATA_count', 'T_TCC_count', 'G_A_count', 'FhlA_30-0', 'Fis_26-25', 'rpoD17', 'A__A_count', 'TC_A_count', 'T_TG_count', 'atgc_ratio', 'TA_ATG_count', 'at_skew', 'T__AAA_count', 'TTT_AC_count', 'CpxR_14-3', 'A_AT_count', 'NagC_25-2', 'G_AAA_count', 'T_GAC_count', 'CysB_13-5', 'T__CTC_count', 'G__A_count', 'T_GC_count', 'AA_C_count', 'C__ATA_count', 'T_AA_count', 'A_C_count', 'TC_count', 'TC_AT_count', 'TC_ATC_count', 'C__AAA_count']",0.46390302857558263,-81577.92953084194
19,"['A__C_count', 'T_G_count', 'AT_count', 'rpoD17', 'G_ATG_count', 'G_TA_count', 'T_AAT_count', 'Fis_26-25', 'T_TC_count', 'rpoD16', 'T__A_count', 'AT_CTG_count', 'G__TG_count', 'TA_C_count', 'rpoS17', 'H_NS_28-24', 'T_ACC_count', 'atgc_ratio', 'iclR', 'GA__T_count', 'TAA_T_count', 'AA_CC_count', 'G_CC_count', 'AA_T_count', 'Fis_26-32', 'TA_A_count', 'TrpR_20-0', 'GC_count', 'T_A_count', 'GC__T_count']",0.4721833200026041,0.17742889337351975
